,ControlGroup,ExpGroup
3172,200.33800000000002,171.49
3173,191.08599999999998,199.692
3174,181.156,164.776
3175,196.52,158.448
3176,196.78,197.834
3177,181.004,179.362
3178,190.634,149.904
3179,200.342,187.16199999999998
3180,185.632,192.044
3181,184.85999999999999,152.762
3182,201.302,171.862
3183,191.53,198.878
3184,180.67000000000002,163.674
3185,196.772,156.93599999999998
3186,197.618,197.43
3187,182.594,178.582
3188,191.568,150.366
3189,201.906,186.722
3190,185.554,192.13
3191,184.536,153.43
3192,199.824,172.404
3193,192.054,199.972
3194,181.002,165.196
3195,197.256,158.45
3196,197.85,197.474
3197,182.192,179.28199999999998
3198,190.108,151.022
3199,200.57999999999998,188.026
3200,185.89600000000002,192.524
3201,184.066,153.87
3202,200.286,174.068
3203,191.676,200.04000000000002
3204,180.56,164.824
3205,197.08800000000002,158.43
3206,197.894,198.738
3207,180.64000000000001,179.116
3208,189.862,151.498
3209,201.102,189.19400000000002
3210,186.714,193.82
3211,184.044,154.776
3212,200.356,174.472
3213,191.626,200.81
3214,180.17000000000002,165.01600000000002
3215,196.20999999999998,159.25799999999998
3216,197.446,199.07
3217,181.308,178.94400000000002
3218,189.304,151.796
3219,200.398,186.434
3220,185.78199999999998,191.31
3221,184.022,152.92000000000002
3222,200.346,172.552
3223,191.454,198.298
3224,181.418,163.302
3225,196.46800000000002,157.73399999999998
3226,197.388,196.324
3227,180.448,178.606
3228,189.33599999999998,151.33599999999998
3229,200.602,187.452
3230,185.268,191.762
3231,183.932,152.682
3232,200.976,173.034
3233,191.502,198.768
3234,180.034,164.238
3235,195.908,159.082
3236,197.264,198.374
3237,180.582,180.20999999999998
3238,189.956,152.424
3239,200.732,188.4
3240,184.928,193.5
3241,183.168,155.486
3242,200.422,173.80599999999998
3243,192.93,200.70999999999998
3244,180.4,165.482
3245,195.96800000000002,160.352
3246,197.998,199.126
3247,180.85399999999998,179.908
3248,188.786,152.594
3249,199.70999999999998,189.036
3250,185.05599999999998,194.154
3251,184.274,156.512
3252,201.57999999999998,175.122
3253,192.38,200.384
3254,179.676,165.682
3255,195.542,160.348
3256,196.93,199.542
3257,181.212,179.16400000000002
3258,189.528,153.24
3259,200.308,189.1
3260,185.778,193.592
3261,183.394,154.612
3262,199.27,174.888
3263,191.95999999999998,200.89000000000001
3264,180.462,165.852
3265,196.892,160.13
3266,197.894,198.89000000000001
3267,181.73,179.618
3268,189.65,153.476
3269,200.74,188.988
3270,186.13,193.272
3271,183.822,154.726
3272,200.504,174.46800000000002
3273,193.55,200.178
3274,182.01,165.03
3275,197.486,160.612
3276,197.91,199.56199999999998
3277,180.816,180.58599999999998
3278,189.554,155.35999999999999
3279,200.416,190.798
3280,185.97,195.294
3281,183.75,157.334
3282,200.648,176.95999999999998
3283,192.488,202.536
3284,180.946,167.702
3285,195.644,162.294
3286,197.092,200.628
3287,181.108,181.504
3288,189.446,155.052
3289,200.384,191.57999999999998
3290,186.196,195.524
3291,183.858,157.496
3292,200.614,176.93800000000002
3293,192.552,202.99
3294,180.804,168.018
3295,196.42000000000002,163.506
3296,197.41,201.31
3297,181.278,182.23399999999998
3298,189.77,155.69
3299,200.14000000000001,192.7
